Title,Category,Evergreen,Curiosity,Difficulty,Priority,Decision,Recommended Title,Notes
Why You Forget 95% of Your Dreams Within Minutes,Human Brain,90,93,Easy,A,KEEP,,Strong hook; soften absolute '95%' claim in script.
You Don't Use Only 10% of Your Brain — Here's the Real Number,Human Brain,88,90,Easy,A,IMPROVE TITLE,Why the 'You Only Use 10% of Your Brain' Myth Is Totally Wrong,Current title promises a 'real number' the body copy does not deliver.
Your Brain Rewires Itself Every Day — Even as an Adult,Human Brain,84,82,Medium,B,KEEP,,Solid evergreen; avoid overclaiming overnight transformation.
What Your Brain Does When You're 'Doing Nothing',Human Brain,78,80,Medium,B,KEEP,,Fits Short if framed as 'doing nothing' paradox.
Sleep Literally Washes Toxic Waste Out of Your Brain,Human Brain,92,88,Medium,A,KEEP,,Excellent Short science; cite glymphatic system simply.
Why You Can Only Hold About 4 Things in Mind at Once,Human Brain,80,79,Easy,B,KEEP,,Corrects Miller's 7±2; clear classroom hook.
The Brain Cells That Make You Feel What Others Feel,Human Brain,68,78,Medium,C,IMPROVE TITLE,Why Watching Someone Else Yawn Makes You Yawn Too,Mirror-neuron → empathy claim is contested; retitle around contagious behavior.
Why Ice Cream Gives You Brain Freeze in Seconds,Human Brain,82,90,Easy,A,KEEP,,Perfect 35–45s curiosity Short.
Your Brain Secretly Ignores Facts That Disagree With You,Human Brain,86,84,Medium,A,KEEP,,High relevance; distinct from cognitive dissonance.
Your Brain Burns 20% of Your Calories While You Sit Still,Human Brain,80,78,Hard,B,KEEP,,Good fact Short; keep energy math tight.
Why Incompetent People Think They're Experts,Psychology,90,93,Medium,A,KEEP,,Flagship psychology Short.
Nobody Notices That Small Embarrassing Thing You Did,Psychology,88,91,Easy,A,KEEP,,Relatable hook; strong audience appeal.
Fake Pills Can Trigger Real Healing in Your Body,Psychology,90,86,Medium,A,KEEP,,Reliable science; avoid medical advice framing.
Why Crowds Sometimes Fail to Help in Emergencies,Psychology,82,80,Medium,B,KEEP,,Needs careful ethics framing in 50s.
The First Number You Hear Secretly Controls Your Judgment,Psychology,84,83,Easy,B,KEEP,,Clear demo-friendly concept.
You Like Songs More the More You Hear Them — Here's Why,Psychology,78,80,Easy,B,KEEP,,Good audio/music hook angle.
Your Brain Hates Holding Two Conflicting Beliefs,Psychology,76,74,Hard,B,KEEP,,Borderline for 60s; keep one crisp example.
Believing You Can Improve Actually Makes You Smarter,Psychology,70,78,Easy,C,IMPROVE TITLE,Why Believing You Can Improve Changes How You Learn,Prior title overclaims 'makes you smarter'; soften claim.
Why That New Purchase Won't Make You Happy for Long,Psychology,84,85,Medium,A,KEEP,,Strong consumer-psychology evergreen.
Making a Small Mistake Can Actually Make People Like You More,Psychology,76,86,Easy,B,KEEP,,Fun social-science Short.
Why Is the Night Sky Dark If the Universe Is Infinite?,Space,88,94,Hard,A,KEEP,,Olbers' paradox; stretch to 55–60s max.
A Year on Mars Lasts Nearly Twice as Long as Earth's,Space,80,78,Easy,B,KEEP,,Simple planetary fact Short.
Explosions in Space Would Be Completely Silent,Space,88,86,Easy,A,KEEP,,Mythbust Hollywood explosions cleanly.
A Teaspoon of Neutron Star Weighs 6 Billion Tons,Space,94,96,Medium,A,KEEP,,Top-tier scale/wow Short.
Jupiter Acts Like a Cosmic Shield for Earth,Space,74,80,Medium,B,IMPROVE TITLE,Does Jupiter Really Protect Earth From Asteroids?,Shield narrative is oversimplified; question form improves honesty.
The Sun You See Is Already 8 Minutes Old,Space,90,88,Easy,A,KEEP,,Instant classic light-delay Short.
The Moon Is Slowly Moving Away From Earth Every Year,Space,86,88,Medium,A,KEEP,,Strong future-implication ending.
Astronauts on the ISS Experience 16 Sunrises Every Day,Space,86,90,Easy,A,KEEP,,High shareability.
Your Gold Jewelry Came From Colliding Neutron Stars,Space,92,93,Hard,A,KEEP,,Companion to neutron-star density Short; not a duplicate.
Venus Is Hotter Than Mercury Despite Being Farther From the Sun,Space,86,86,Medium,A,KEEP,,Greenhouse punchline lands in <45s.
Earth's Inner Core May Spin Faster Than the Rest of the Planet,Earth,72,80,Hard,C,KEEP,,Science still evolving; keep claims provisional.
The Amazon Doesn't Produce 20% of Earth's Oxygen,Earth,90,91,Medium,A,KEEP,,Excellent mythbust evergreen.
The Pressure at the Bottom of the Ocean Can Crush a Submarine,Earth,84,88,Medium,B,IMPROVE TITLE,Why the Deepest Ocean Could Crush a Submarine Instantly,Title currently generic; name the depth/pressure stakes.
Earth's Magnetic Poles Flip — and We're Overdue,Earth,86,88,Hard,A,KEEP,,Avoid alarmism; flips are slow.
Lightning Is 5 Times Hotter Than the Surface of the Sun,Earth,88,93,Easy,A,KEEP,,Instant A-tier fact Short.
Antarctica Is the World's Largest Desert,Earth,86,88,Easy,A,KEEP,,Definition flip lands cleanly.
90% of Earth's Earthquakes Happen in One Ring,Earth,80,78,Medium,B,KEEP,,Geography evergreen.
Some Water on Earth Predates the Sun Itself,Earth,90,91,Hard,A,KEEP,,Cosmic origin story; keep sourcing careful.
Some Ocean Waves Glow Blue at Night — Here's the Science,Earth,84,92,Easy,A,IMPROVE TITLE,Why Some Ocean Waves Glow Blue at Night,Slug/notes mix 'red tide'; keep bioluminescence precise.
Mount Everest Isn't the Tallest Mountain on Earth,Earth,86,88,Easy,A,KEEP,,Mauna Kea from base; classic mythbust.
Why Scientists Can Never Reach Absolute Zero,Science,78,80,Hard,B,KEEP,,Borderline Short length; one analogy only.
Why Ice Floats — and Why That Saves Life on Earth,Science,90,86,Easy,A,KEEP,,Life-on-Earth stakes make it A.
Particles Behave Like Waves Until You Watch Them,Science,82,94,Hard,B,KEEP,,High curiosity; hard to avoid mystification in 60s.
Nothing Can Go Faster Than Light — Not Even Thought Experiments,Science,84,80,Medium,B,IMPROVE TITLE,Why Nothing in the Universe Can Outrun Light,Prior title's 'thought experiments' clause confuses.
Penicillin Was Discovered Because of a Messy Lab,Science,84,80,Easy,B,KEEP,,History-of-science Short.
Mendeleev Predicted Elements That Didn't Exist Yet,Science,80,78,Medium,B,KEEP,,Prediction-as-power narrative.
Water Can Stay Liquid Below 0°C Without Freezing,Science,84,90,Easy,A,KEEP,,Demo-friendly curiosity.
Why Your Room Gets Messy But Never Cleans Itself,Science,86,88,Medium,A,KEEP,,Everyday metaphor works for Shorts.
Radiocarbon Dating Can't Date Dinosaur Bones,Science,80,76,Medium,B,KEEP,,Mythbust dating misconceptions.
Planes Fly Because of Pressure — Not Just Engine Thrust,Science,55,70,Medium,C,REMOVE,,Oversimplified aerodynamics risk; replace with clearer flight physics topic.
QR Codes Still Work Even When Partly Damaged,Technology,82,82,Medium,B,KEEP,,Practical tech curiosity.
GPS Would Fail in Minutes Without Einstein's Relativity,Technology,92,92,Hard,A,KEEP,,Flagship applied-physics Short.
Your Finger Doesn't Press a Touchscreen — It Disrupts Electricity,Technology,86,84,Easy,A,KEEP,,Everyday object → invisible physics.
"Internet Cables Send Light, Not Electricity",Technology,84,80,Medium,B,KEEP,,Clear optics demo.
Your Hard Drive Doesn't Have a Little Arm Reading a Spiral,Technology,72,74,Easy,C,IMPROVE TITLE,How a Hard Drive Reads Data Without Touching the Disk,Negation-first title is weak; explain mechanism.
Bluetooth Is Named After a 10th-Century Viking King,Technology,78,88,Easy,B,KEEP,,Fun etymology Short; pair with how Bluetooth works later.
AI 'Neural Networks' Are Loosely Inspired by Brains — Very Loosely,Technology,88,86,Medium,A,KEEP,,Timely myth-softener for AI literacy.
Computer Chips Can't Keep Shrinking Forever,Technology,78,74,Hard,B,KEEP,,Industry context; keep concrete scale examples.
Your Password Alone Isn't Enough Anymore,Technology,62,68,Easy,C,REMOVE,,Security advice more than curiosity science; replace with deeper tech physics.
The Cloud Is Just Someone Else's Computer in a Warehouse,Technology,68,72,Easy,C,REMOVE,,Dated meme; low educational depth for Curionex brand.
The Library of Alexandria Didn't End Knowledge Forever,History,86,88,Medium,A,KEEP,,Nuanced mythbust; keep one clear takeaway.
You Can't See the Great Wall of China From Space With Naked Eyes,History,86,86,Easy,A,KEEP,,Classic mythbust.
Vikings Never Wore Horned Helmets in Battle,History,88,90,Easy,A,KEEP,,High shareability.
Cleopatra Lived Closer to the Moon Landing Than the Pyramids,History,94,95,Easy,A,KEEP,,Top viral history Short.
The Shortest War in History Lasted 38 Minutes,History,82,90,Easy,A,KEEP,,Strong narrative hook.
Medieval Iron Maidens Were Probably Fake,History,78,84,Medium,B,KEEP,,Museum-myth angle.
"Salem 'Witches' Were Hanged, Not Burned at the Stake",History,78,80,Medium,B,KEEP,,Precision history Short.
Abraham Lincoln Was a Licensed Bartender,History,55,70,Easy,C,REMOVE,,Trivia vs educational mission; weak Shorts fit for Curionex.
Gutenberg Didn't Invent Printing — He Made It Fast,History,82,78,Medium,B,KEEP,,Innovation nuance Short.
Oxford University Is Older Than the Aztec Empire,History,92,93,Easy,A,KEEP,,Timeline-shock A-tier.
Octopuses Have 3 Hearts and Blue Blood,Animals,92,94,Easy,A,KEEP,,Flagship animal Short.
This Tiny Animal Survives the Vacuum of Space,Animals,92,94,Medium,A,IMPROVE TITLE,How Tardigrades Survive the Vacuum of Space,Replace vague 'This Tiny Animal'.
This Shrimp Punches as Fast as a .22 Bullet,Animals,90,93,Medium,A,IMPROVE TITLE,Why the Mantis Shrimp Punches Faster Than a Bullet,Name the animal; near-duplicate risk with pistol shrimp.
Crows Hold Grudges and Tell Their Friends About You,Animals,88,91,Easy,A,KEEP,,Behavior science gold.
Platypuses Hunt Using Built-In Electric Sensors,Animals,88,90,Medium,A,KEEP,,Unique sensory biology.
Bees Communicate With a Dance That Maps Distance and Direction,Animals,86,86,Medium,B,KEEP,,Slightly denser for 50s; still suitable.
This Salamander Can Regrow Its Brain and Heart,Animals,90,90,Medium,A,IMPROVE TITLE,How Axolotls Regrow Their Brain and Heart,Name the salamander.
Flamingos Aren't Born Pink — They Eat Their Way to It,Animals,84,84,Easy,B,KEEP,,Diet → color reveal.
This Shrimp Creates a Bubble Hotter Than the Sun's Surface,Animals,82,90,Medium,B,MERGE,How the Pistol Shrimp Makes a Bubble Hotter Than the Sun,Near-duplicate of mantis shrimp punch/cavitation; keep only if sharply differentiated OR merge into crustacean-weapons series.
Sloths Are Slow on Purpose — It's Their Survival Strategy,Animals,80,80,Easy,B,KEEP,,Adaptation framing works.
Your Body Emits Visible Light — Just Too Faint to See,Human Body,88,92,Medium,A,KEEP,,Surprise bioluminescence Short.
Your Stomach Lining Replaces Itself Every Few Days,Human Body,84,82,Easy,B,KEEP,,Acid vs lining paradox.
Your Bones Are Stronger Than Steel — Pound for Pound,Human Body,78,82,Easy,B,IMPROVE TITLE,Why Your Bones Are Stronger Than Concrete — Pound for Pound,Steel comparison often oversold; concrete/weight framing safer.
Microbes in Your Gut Outnumber Your Own Cells,Human Body,80,84,Medium,B,IMPROVE TITLE,"Why Your Gut Microbes Shape Digestion, Immunity, and Mood",Cell-count claim is outdated/contested; retitle away from counting.
Hair and Nails Don't Keep Growing After You Die,Human Body,84,86,Easy,A,KEEP,,Classic mythbust.
Goosebumps Are a Useless Gift From Your Ancestors,Human Body,80,82,Easy,B,KEEP,,Evolution leftover Short.
Your Blood Completes a Full Body Loop in About 60 Seconds,Human Body,84,84,Medium,B,KEEP,,Circulation timing fact.
The Tongue Taste Map You Learned in School Is Wrong,Human Body,88,88,Easy,A,KEEP,,School-mythbust A-tier.
Your Immune System Kills Thousands of Threats While You Read This,Human Body,76,76,Medium,C,IMPROVE TITLE,What Your Immune System Does in the Next 60 Seconds,Prior title vague; sharpen time-bound hook.
Your Appendix Isn't Useless — It's a Bacteria Safe House,Human Body,86,84,Medium,A,KEEP,,Good organ-mythbust.
Trees Talk to Each Other Through an Underground Fungal Internet,Biology,86,90,Medium,A,IMPROVE TITLE,How Trees Share Nutrients Through Underground Fungal Networks,'Talk' is anthropomorphic; keep mycorrhizal science precise.
The Powerhouses of Your Cells Were Once Free-Living Bacteria,Biology,88,86,Hard,A,KEEP,,Endosymbiosis classic; hard but doable.
Plants Use Quantum Physics to Harvest Sunlight,Biology,65,84,Hard,C,KEEP,,Curiosity high; scientific consensus contested — script must hedge.
CRISPR Lets Scientists Cut and Paste DNA Like Text,Biology,90,86,Medium,A,KEEP,,Core biotech literacy Short.
This Jellyfish Can Reverse Its Aging and Start Over,Biology,88,92,Medium,A,IMPROVE TITLE,How This Immortal Jellyfish Reverses Its Aging,Name Turritopsis in script; title may keep 'immortal jellyfish'.
The DNA in One Cell Stretches 2 Meters Long,Biology,88,88,Easy,A,KEEP,,Scale visualization Short.
Fireflies Make Light Without Heat Using a Chemical Reaction,Biology,84,84,Easy,B,KEEP,,Chemistry of cold light.
Your Genes Aren't Your Destiny — Switches Turn Them On and Off,Biology,82,80,Hard,B,KEEP,,Avoid destiny overclaim in VO.
A Lichen Is Actually Two Organisms Living as One,Biology,80,80,Easy,B,KEEP,,Symbiosis intro Short.
Bacteria Can Share Genes With Strangers — No Reproduction Needed,Biology,80,78,Hard,B,KEEP,,Antibiotic-resistance payoff works.
